"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Center Keypoint for Parking Slot Detection with Self-Calibrated Convolutions Network","R. Zheng; S. Lian; W. Liang; Y. Tang; W. Meng",NA; NA; NA; NA; NA,"2022 17th International Conference on Control, Automation, Robotics and Vision (ICARCV)","10 Jan 2023","2022","","","305","310","Available parking slot detection is the first step for autonomous parking systems. In this paper, we propose a novel parking slot detection method that uses the center information regression and the occupancy classification of the parking slot. We design a self-calibrated convolutions network (SCCN) to obtain the position, length, occupancy and direction, which can also infer the parking slot type according to the prediction results. The method divides an around view monitor (AVM) image into the 16 × 16 grid cells and performs a SCCN detector for feature extraction. Subsequently, the whole parking slot can be easily inferred via prior geometric information and detection results. We adopt the heatmap, MultiBins, and midline to detect the center keypoint, direction and occupancy, respectively. And we quantitatively evaluate the performance of the proposed method on the public PS2.0 datasets. The experimental results show the outperformance by a precision rate of 99.35%, a recall rate of 99.17%, an occupancy classification accuracy of 99.12% and all correctly inferred types of parking slots on the datasets.","","978-1-6654-7687-4","10.1109/ICARCV57592.2022.10004223","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004223","","Heating systems;Automation;Detectors;Feature extraction;Reliability;Data mining;Robots","calibration;computer vision;convolutional neural nets;feature extraction;image classification;object detection;regression analysis;traffic engineering computing","autonomous parking systems;center information regression;center keypoint;feature extraction;geometric information;grid cells;heatmap;midline;MultiBins;occupancy classification accuracy;parking slot detection;parking slot type;SCCN detector;self-calibrated convolutions network","","2","","16","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Unified Mobility Estimation Model","D. Ziegler; J. Betz; M. Lienkamp","Institute of Automotive Technology, Technical University Munich, Germany; Dept. of Electrical and Systems Engineering, University of Pennsylvania, USA; Institute of Automotive Technology, Technical University Munich, Germany","2021 IEEE International Intelligent Transportation Systems Conference (ITSC)","25 Oct 2021","2021","","","3610","3617","In literature, scientists describe human mobility in a range of granularities by several different models. Using frameworks like MATSIM, VehiLux, or Sumo, they often derive individual human movement indicators in their most detail. However, such agent-based models tend to be difficult and require much information and computational power to correctly predict the commutation behavior of large mobility systems. Mobility information can be costly and researchers often cannot acquire it dynamically over large areas, which leads to a lack of adequate calibration parameters, rendering the easy and spontaneous prediction of mobility in additional areas impossible. This paper targets this problem and represents a concept that combines multiple substantial mobility theorems formulated in recent years to reduce the amount of required information compared to existing simulations. Our concept also targets computational expenses and aims to reduce them to enable a global prediction of mobility. Inspired by methods from other domains, the core idea of the conceptional innovation can be compared to weather models, which predict weather on a large scale, on an adequate level of regional information (airspeed, air pressure, etc.), but without the detailed movement information of each air atom and its particular simulation.","","978-1-7281-9142-3","10.1109/ITSC48978.2021.9564453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564453","","Technological innovation;Computational modeling;Atmospheric modeling;Conferences;Estimation;Predictive models;Rendering (computer graphics)","calibration;estimation theory;mobile computing;traffic engineering computing","weather models;regional information;movement information;unified mobility estimation model;human mobility;agent-based models;computational power;commutation behavior;mobility systems;mobility information;calibration parameters;multiple substantial mobility theorems;computational expenses;conceptional innovation;human movement indicators;MATSIM;VehiLux;Sumo","","","","50","IEEE","25 Oct 2021","","","IEEE","IEEE Conferences"
"A Deep-Learning-based Link Adaptation Design for eMBB/URLLC Multiplexing in 5G NR","Y. Huang; Y. T. Hou; W. Lou","Virginia Tech, Blacksburg, VA, USA; Virginia Tech, Blacksburg, VA, USA; Virginia Tech, Blacksburg, VA, USA","IEEE INFOCOM 2021 - IEEE Conference on Computer Communications","26 Jul 2021","2021","","","1","10","URLLC is an important use case in 5G NR that targets at 1-ms level delay-sensitive applications. For fast transmission of URLLC traffic, a promising mechanism is to multiplex URLLC traffic into a channel occupied by eMBB service through preemptive puncturing. Although preemptive puncturing can offer transmission resource to URLLC on demand, it will adversely affect throughput and link reliability performance of eMBB service. To mitigate such an adverse impact, a possible approach is to employ link adaptation (LA) through MCS selection for eMBB users. In this paper, we study the problem of maximizing eMBB throughput through MCS selection while ensuring link reliability requirement for eMBB users. We present DELUXE - the first successful design and implementation based on deep learning to address this problem. DELUXE involves a novel mapping method to compress high-dimensional eMBB transmission information into a low-dimensional representation with minimal information loss, a learning method to learn and predict the block-error rate (BLER) under each MCS, and a fast calibration method to compensate errors in BLER predictions. For proof of concept, we implement DELUXE through a link-level 5G NR simulator. Extensive experimental results show that DELUXE can successfully maintain the desired link reliability for eMBB while striving for spectral efficiency. In addition, our implementation can meet the real-time requirement (<; 125 μs) in 5G NR.","2641-9874","978-1-6654-0325-2","10.1109/INFOCOM42981.2021.9488790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9488790","","Multiplexing;Learning systems;5G mobile communication;Training data;Ultra reliable low latency communication;Throughput;Propagation losses","5G mobile communication;calibration;error statistics;learning (artificial intelligence);radio links;telecommunication computing;telecommunication network reliability;wireless channels","multiplex URLLC traffic;promising mechanism;fast transmission;level delay-sensitive applications;important use case;link adaptation design;desired link reliability;link-level 5G NR simulator;fast calibration method;learning method;minimal information loss;low-dimensional representation;high-dimensional eMBB transmission information;deep learning;successful design;DELUXE;link reliability requirement;eMBB users;MCS selection;eMBB service;link reliability performance;transmission resource;preemptive puncturing;time 125.0 mus","","9","","29","IEEE","26 Jul 2021","","","IEEE","IEEE Conferences"
"Car Following Model Based on Driving Risk Field for Vehicle Infrastructure Cooperation","C. Teng; G. Ligang; W. Zexu; S. Qin; N. Hao","School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China; School of Automotive and Transportation Engineering, Hefei University of Technology, Hefei, China","2022 6th CAA International Conference on Vehicular Control and Intelligence (CVCI)","8 Dec 2022","2022","","","1","6","In vehicle infrastructure cooperation (VIC) systems, the position, speed, acceleration and other driving information of vehicles can interact in real time between vehicles and roads. Therefore, it is suitable to use the driving risk field theory to describe the driving risk of vehicles in these scenarios. For such scenarios, this paper constructs a car following model suitable for multi cars following based on the driving risk field theory. This model incorporates the driving information of multiple vehicles in front into the calculation of the driving state of the vehicle behind, and is highly sensitive to the acceleration change of the vehicles in front. In this paper, firstly, the distance formula is modified to make the action range of the driving risk field more in line with the real scene. And then the formula of the driving risk field is improved to enhance its sensitivity to vehicle acceleration. Finally, in the establishment of the car following model, the driving information of multiple front vehicles is brought into the driving risk field formula for calculation, so as to improve the prediction accuracy of the car following model. We conduct a comparative experiment with IDM (Intelligent Driver Model) as the comparison object, the results show that the car following model established in this paper is better than IDM in terms of fitting effect and fitting error, so it can better adapt to the multi cars following scene in the vehicle infrastructure cooperation environment.","","978-1-6654-5374-5","10.1109/CVCI56766.2022.9964837","National Natural Science Foundation of China(grant numbers:82171012); Fundamental Research Funds for the Central Universities(grant numbers:PA2021KCPY0041); Natural science foundation of Anhui Province(grant numbers:2208085MF171); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964837","driving risk field;car following model;vehicle infrastructure cooperation;modeling idea;parameter calibration","Adaptation models;Sensitivity;Roads;Fitting;Vehicle driving;Predictive models;Real-time systems","automobiles;road safety;road traffic;traffic information systems","car following model;distance formula;driving information;driving risk field;driving state;multicars following scene;vehicle acceleration;vehicle infrastructure cooperation systems;VIC","","","","17","IEEE","8 Dec 2022","","","IEEE","IEEE Conferences"
"Backpropagation through Simulation: A Training Method for Neural Network-based Car-following","R. Sun; D. Xu; H. Zhao; M. Moze; F. Aioun; F. Guillemard","Key Lab of Machine Perception, Peking University, Beijing, China; Key Lab of Machine Perception, Peking University, Beijing, China; Key Lab of Machine Perception, Peking University, Beijing, China; Key Lab of Machine Perception, Peking University, Beijing, China; Key Lab of Machine Perception, Peking University, Beijing, China; Groupe PSA, Velizy, France","2019 IEEE Intelligent Transportation Systems Conference (ITSC)","28 Nov 2019","2019","","","3796","3803","Learning human's car-following behavior needs not only well-designed models but also effective training or calibration methods. Comparing with the vast amount of efforts on car-following modeling in literature, training methods are less studied. This research proposes a training method (BPTS - Backpropagation through Simulation) to reduce the long-term error of neural network-based car-following models, with multiple experimental validations. The training method uses a recurrent framework with simulation to generate long-term predictions for generic car-following models, and use gradient backpropagation to reduce accumulative error. The proposed training method can also calibrate other car-following models besides neural network-based models. In experimental validation, our studies yielded more than 30% error reduction in long-term (20 s) prediction for feed-forward Artificial Neural Network (ANN) and Long short-term memory (LSTM) models, and reduces the error on vehicle position by more than 1.0 meters, at the cost of that short-term (0.2 s) prediction error slightly increases. The proposed training method dramatically reduces the long-term prediction error of neural network-based car-following models.","","978-1-5386-7024-8","10.1109/ITSC.2019.8917308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8917308","","Training;Predictive models;Calibration;Data models;Parametric statistics;Acceleration;Neural networks","automobiles;backpropagation;learning (artificial intelligence);neural nets;recurrent neural nets;traffic engineering computing","training method;neural network-based car-following;backpropagation;artificial neural network;long short-term memory","","","","44","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
"eShare+: A Data-Driven Balancing Mechanism for Bike Sharing Systems Considering Both Quality of Service and Maintenance","S. Wang; X. Zhu; G. Wang; Y. Liu; T. He; D. Zhang","Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, Jiangsu, China; Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, Jiangsu, China; Department of Computer Science, Florida State University, Tallahassee, FL, USA; Peking University, Beijing, China; Key Laboratory of Computer Network and Information Integration, School of Computer Science and Engineering, Southeast University, Nanjing, Jiangsu, China; Department of Computer Science, Rutgers University, Piscataway, NJ, USA","IEEE Transactions on Knowledge and Data Engineering","14 Sep 2023","2023","35","10","10497","10513","With the rapid development of sharing economy, we have access to massive sharing systems such as Uber, Airbnb, and bike sharing nowadays. The sharing economy, at its core, is to achieve efficient use of resources. However, the actual usage of shared resources is still unclear to us. Little measurement or analysis, if any, has been conducted to investigate the resource usage patterns with the large-scale data collected from these sharing systems. In this paper, we first analyze the shared bike usage patterns in three typical bike sharing systems based on 140-month multi-event data. From our data-driven analysis, we found that the most used 20% of shared bikes account for 45% of total usage, while the least used 20% of bikes account for less than 1% of usage. To efficiently utilize shared bikes, we propose a usage balancing design called eShare+ to improve the bike sharing systems by considering both the quality of service and bike maintenance, which includes three key components: (i) a statistical model based on archived data to infer historical usage; (ii) an entropy and contextual LSTM-based prediction model with both real-time and archived data to infer future usage; (iii) a model-driven optimal calibration engine for bike selection to dynamically balance usage. We develop an ID swapping-based evaluation methodology to measure the efficiency of eShare+ with data from three large-scale bike sharing systems including 84,000 bikes and 3,300 service stations. Our results show that eShare+ not only fully utilizes shared bikes with efficient maintenance but also improves the quality of service. In addition, eShare+ also has the potential to be applicable to different fleet sizes.","1558-2191","","10.1109/TKDE.2023.3253725","Science and Technology Innovation 2030 - Major Project(grant numbers:2021ZD0114202); National Natural Science Foundation of China(grant numbers:62272098); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10061557","Bike sharing;maintenance;sharing economy;urban data;usage balancing","Maintenance engineering;Predictive models;Data models;Context modeling;Sharing economy;Quality of service;Engines","bicycles;calibration;financial data processing;recurrent neural nets;statistical analysis;traffic engineering computing;transportation","actual usage;archived data;bike maintenance;bike selection;bike sharing systems considering;data-driven analysis;data-driven balancing mechanism;eShare;future usage;infer historical usage;large-scale bike;large-scale data;massive sharing systems;multievent data;quality of service;resource usage patterns;shared bike usage patterns;shared bikes;shared resources;sharing economy;total usage;typical bike sharing systems;usage balancing design","","","","43","IEEE","7 Mar 2023","","","IEEE","IEEE Journals"
"Estimating Long-Term Delay Risk with Generalized Linear Models","M. Milliet de Faverges; G. Russolillo; C. Picouleau; B. Merabet; B. Houzel","CEDRIC - CNAM SNCF Reseau - DGEX Solutions Paris, France; CEDRIC - CNAM Paris, France; CEDRIC - CNAM Paris, France; SNCF Reseau - DGEX Solutions Saint Denis, France; SNCF Reseau - DGEX Solutions Saint Denis, France","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","9 Dec 2018","2018","","","2911","2916","This paper presents an original methodology to estimate delay risk a few days before operations with generalized linear models. These models represent a given variable with any distribution from the exponential family, allowing to compute for any subject its own probability distribution according to its features. This methodology is applied on small delays (less than 20 minutes) of high-speed trains arriving at a major french station. Several distributions are tested to fit delay data and three scenarios are evaluated: a single GLM with a negative binomial distribution and two two-part models using both a logistic regression as first part to compute the probability of arriving on time, and a second part using a negative binomial or a lognormal distribution to obtain the probabilities associated with positive delay values. This paper also proposes a validation methodology to assess the quality of these probabilistic prediction based on two aspects: calibration and discrimination.","2153-0017","978-1-7281-0323-5","10.1109/ITSC.2018.8569507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569507","Railway punctuality;Generalized Linear Models;Delay modeling;zero-inflated data","Delays;Data models;Predictive models;Calibration;Probability;Computational modeling;Investment","binomial distribution;log normal distribution;probability;rail traffic;railways;regression analysis","lognormal distribution;generalized linear models;exponential family;high-speed trains;delay data;negative binomial distribution;long-term delay risk estimation;probability distribution;logistic regression;probability;time 20.0 min","","","","22","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
"Vehicle Energy Dataset (VED), A Large-Scale Dataset for Vehicle Energy Consumption Research","G. Oh; D. J. Leblanc; H. Peng","Department of Mechanical Engineering, University of Michigan, Ann Arbor, MI, USA; University of Michigan Transportation Research Institute, Ann Arbor, MI, USA; Department of Mechanical Engineering, University of Michigan, Ann Arbor, MI, USA","IEEE Transactions on Intelligent Transportation Systems","30 Mar 2022","2022","23","4","3302","3312","We present Vehicle Energy Dataset (VED), a large-scale dataset of fuel and energy data collected from 383 personal cars in Ann Arbor, Michigan, USA. This open dataset captures GPS trajectories of vehicles along with their time-series data of fuel, energy, speed, and auxiliary power usage. A diverse fleet consisting of 264 gasoline vehicles, 92 HEVs, and 27 PHEV/EVs drove in real-world from Nov, 2017 to Nov, 2018, where the data were collected through onboard OBD-II loggers. Driving scenarios range from highways to traffic-dense downtown area in various driving conditions and seasons. In total, VED accumulates approximately 374,000 miles. We discuss participant privacy protection and develop a method to de-identify personally identifiable information while preserving the quality of the data. We present a number of case studies with the dataset to demonstrate how VED can be utilized for vehicle energy and behavior studies. The case studies investigate the impacts of factors known to affect fuel economy and identify energy-saving opportunities that hybrid-electric vehicles and eco-driving techniques can provide. Potential research opportunities include data-driven vehicle energy consumption modeling, driver behavior modeling, calibration of traffic simulators, optimal route choice modeling, prediction of human driver behaviors, and decision making of self-driving cars. We believe that VED can be an instrumental asset to the development of future automotive technologies. The dataset can be accessed at https://github.com/gsoh/VED.","1558-0016","","10.1109/TITS.2020.3035596","U.S. Department of Energy(grant numbers:DE-EE0007212); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9262035","Database;naturalistic driving data;connected and automated vehicles (CAV);autonomous vehicles;driver behavior;energy consumption","Fuels;Batteries;Global Positioning System;Ice;Energy consumption;Vehicles;Automobiles","automobiles;data privacy;decision making;driver information systems;energy consumption;fuel economy;Global Positioning System;hybrid electric vehicles;road traffic;time series","time-series data;gasoline vehicles;VED;energy-saving opportunities;hybrid-electric vehicles;data-driven vehicle energy consumption modeling;vehicle energy dataset;large-scale dataset;fuel economy;energy data;personal cars;vehicle energy consumption research;Ann Arbor;Michigan;USA;GPS trajectories;HEVs;PHEV-EVs;onboard OBD-II loggers;participant privacy protection;driver behavior modeling;traffic simulators;optimal route choice modeling;human driver behaviors;decision making;self-driving cars","","23","","35","IEEE","17 Nov 2020","","","IEEE","IEEE Journals"
"Inertial Odometry Using Hybrid Neural Network With Temporal Attention for Pedestrian Localization","Y. Wang; H. Cheng; M. Q. . -H. Meng","Department of Electronic Engineering, Robotics, Perception and Artificial Intelligence Laboratory, The Chinese University of Hong Kong, Hong Kong, SAR, China; Department of Electronic Engineering, Robotics, Perception and Artificial Intelligence Laboratory, The Chinese University of Hong Kong, Hong Kong, SAR, China; Shenzhen Key Laboratory of Robotics Perception and Intelligence and the Department of Electronic and Electrical Engineering, Southern University of Science and Technology, Shenzhen, China","IEEE Transactions on Instrumentation and Measurement","8 Jul 2022","2022","71","","1","10","In this work, a novel hybrid neural network with temporal attention (HNNTA) is proposed for inertial pedestrian localization. The HNNTA model employs the convolutional neural network (CNN) for extracting sectional features from the IMU data, followed by the long short-term memory (LSTM) network to capture the global temporal information. A temporal attention mechanism is designed to weigh the hidden states produced by the LSTM network and generate the final features for velocity prediction. Specifically, the proposed temporal attention mechanism is composed of the CNN feature refinement module and the sigmoid score normalization function. We utilize different 1-D filters to refine the temporal hidden states from previous refined time indexes and form the value matrix with each row containing different features along with the entire window time indexes and each column representing individual features from the same time spans. We then employ the sigmoid function to normalize the dot-product alignment between features from different time spans and that of the last refined time index. We employ the RoNIN dataset to evaluate the HNNTA model, which contains the largest and most natural IMU measurements. We employ extensive erosion experiments to show the effectiveness of the HNNTA model design. Compared with the state-of-the-art method, the HNNTA model provides 10.39% higher 50th percentile accuracy for all phone carriers that have been seen in the training set and 8.69% higher for those that have not been seen. The real-world experiments with IMU measurements collected on the CUHK campus further demonstrate the better generalization capability of the HNNTA model.","1557-9662","","10.1109/TIM.2022.3186704","National Key Research and Development Program of China(grant numbers:2019YFB1312400); Hong Kong Research Grants Council (RGC) Collaborative Research Fund (CRF)(grant numbers:C4063-18G); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9808172","Indoor localization;inertial measurement unit (IMU);inertial state estimation;pedestrian dead reckoning;sensor calibration;velocity measurement","Time measurement;Neural networks;Location awareness;Velocity measurement;Indexes;Feature extraction;Convolutional neural networks","feature extraction;image motion analysis;learning (artificial intelligence);neural nets;object detection;object recognition;pedestrians;recurrent neural nets;traffic engineering computing","inertial odometry;novel hybrid neural network;inertial pedestrian localization;convolutional neural network;sectional features;IMU data;short-term memory network;global temporal information;temporal attention mechanism;LSTM network;final features;CNN feature refinement module;sigmoid score normalization function;temporal hidden states;previous refined time indexes;entire window time indexes;sigmoid function;different time spans;refined time index;largest IMU measurements;most natural IMU measurements;HNNTA model design","","7","","31","IEEE","27 Jun 2022","","","IEEE","IEEE Journals"
"Intelligent Noise Mapping using Smart Phone on Web platform","R. Dubey; S. Bharadwaj; D. S. Biswas","Rajiv Gandhi Institute Of Petroleum Technology, Amethi, Uttar Pradesh, INDIA; Rajiv Gandhi Institute Of Petroleum Technology, Amethi, Uttar Pradesh, INDIA; Rajiv Gandhi Institute Of Petroleum Technology, Amethi, Uttar Pradesh, INDIA","2020 International Conference on Smart Innovations in Design, Environment, Management, Planning and Computing (ICSIDEMPC)","1 Jan 2021","2020","","","69","74","Environmental pollution has become very serious due to today's advancement all around the world. Pollutions are of different types which include noise pollution. Noise pollution is considered as one of the most prevalent environmental challenges affecting human health. The rapid growth of population, vehicular density in roads, urbanization, etc., is increasing noise pollution in cities needing techniques to monitor and predict noise or to determine its effects on health. Noise levels of various sources, when integrated with the terrain data, are playing a vital role in determining the extent of noise pollution at various neighboring locations. The technique is tried to be developed over a typical city in India, i.e., Lucknow, with mixed land use pattern is chosen thus far. Further, an important variation in noise levels exists here from a place to another. It also varies with time in this city. It is planned to collect the noise levels of Lucknow from typically very crowded, averagely crowded, and thinly crowded areas. The collected data are also planned to be characterized as peak hour, average hour, and off-peak hour. Noise intensity and frequency data are observed to understand and characterize noise levels with the full spectrum. Once noise data are collected it is planned to be utilized for prediction of noise levels at unknown neighboring locations using terrain data and noise model. As it was understood that the collection of noise data at all source points is difficult, an intelligent technique is planned to be implemented. A smartphone-based technique is thought for it. Smartphone with noise App is planned to be utilized to collect the noise data, after the proper calibration of its microphone with Noise Level Meter. A web-based application where people will participate and upload the noise levels with smartphones is planned to serve the purpose. The requirement of terrain data is tried to be managed using a classified web map of google. Predicted noise levels over smart-phone are related to various health hazards. People's feedback on health issues due to noise is recorded, along with health check-up reports, and reviews of literature. These are combined to relate to the effect of noise on health for an area.","","978-1-7281-5970-6","10.1109/ICSIDEMPC49020.2020.9299597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9299597","Traffic Noise;Noise mapping;Smart-phones;Web mapping;ArcGIS","Urban areas;Smart phones;Pollution;Noise level;Monitoring;Roads;Pollution measurement","acoustic noise;environmental science computing;Internet;noise pollution;smart phones","noise pollution;terrain data;frequency data;noise data;noise model;noise level meter;intelligent noise mapping;noise app","","2","","11","IEEE","1 Jan 2021","","","IEEE","IEEE Conferences"
"Multi-Task Learning with Calibrated Mixture of Insightful Experts","S. Wang; Y. Li; H. Li; T. Zhu; Z. Li; W. Ou","Alibaba Group, China; Alibaba Group, China; Alibaba Group, China; Alibaba Group, China; Alibaba Group, China; Alibaba Group, China","2022 IEEE 38th International Conference on Data Engineering (ICDE)","2 Aug 2022","2022","","","3307","3319","Multi-task learning has been established as an important machine learning framework for leveraging shared knowledge among multiple different but related tasks, with the generalization performance of models enhanced. As a promising learning paradigm, multi-task learning has been widely adopted by various real-world applications, such as recommendation systems. Multi-gate Mixture-of-Experts (MMoE), a well-received multi-task learning method in industry, based on the classic and inspiring Mixture-of-Experts (MoE) structure, explicitly models task relationships and learns task-specific functionalities, generating significant improvements. However, in our applications, negative transfer, which confuses considerable existing multi-task learning methods, is still observed to happen to MMoE. In this paper, an in-depth empirical investigation into negative transfer is launched. And it reveals that, incompetent experts, which play fundamental roles under the learning framework of MoE, are the key technique bottleneck. To tackle this dilemma, we propose the Calibrated Mixture of Insightful Experts (CMoIE), with three novel modules (Conflict Resolution, Expert Communication, and Mixture Calibration), customed for multi-task learning. Hence a group of insightful experts are constructed with enhanced diversity, communication and specialization. To validate the proposed method CMoIE, experiments are conducted on three public datasets and one real-world click-through-rate prediction dataset we construct based on traffic logs collected from a large-scale online product recommendation system. Our approach yields best performance across all of these benchmarks, demonstrating the superiority of it.","2375-026X","978-1-6654-0883-7","10.1109/ICDE53745.2022.00312","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9835373","multi-task learning;recommendation systems;mixture-of-experts","Learning systems;Industries;Conferences;Machine learning;Network architecture;Benchmark testing;Multitasking","learning (artificial intelligence);recommender systems","machine learning framework;multitask learning method;models task relationships;task-specific functionalities;mixture-of-experts structure;calibrated mixture of insightful experts;conflict resolution module;expert communication module;mixture calibration module;real-world click-through-rate prediction dataset;large-scale online product recommendation system","","2","","59","IEEE","2 Aug 2022","","","IEEE","IEEE Conferences"
"DELUXE: A DL-Based Link Adaptation for URLLC/eMBB Multiplexing in 5G NR","Y. Huang; Y. T. Hou; W. Lou","NVIDIA Corporation, Santa Clara, CA, USA; Bradley Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA; Department of Computer Science, Virginia Tech, Fall Church, VA, USA","IEEE Journal on Selected Areas in Communications","16 Dec 2021","2022","40","1","143","162","Ultra-Reliable and Low Latency Communications (URLLC) is an important use case in 5G NR that targets at 1-ms level delay sensitive applications. For fast transmission of URLLC traffic, a promising mechanism is to multiplex URLLC traffic into a channel occupied by enhanced Mobile BroadBand (eMBB) service through preemptive puncturing. Although preemptive puncturing can offer transmission resource to URLLC on demand, it will adversely affect throughput and link reliability performance of eMBB service. To mitigate such an adverse impact, a possible approach is to employ link adaptation (LA) through modulation and coding scheme (MCS) selection for eMBB users. In this paper, we study the problem of maximizing eMBB throughput through MCS selection while ensuring link reliability requirement for eMBB users. We present DELUXE – the first successful design and implementation based on deep learning to address this problem. DELUXE involves a novel mapping method to compress high-dimensional eMBB transmission information into a low-dimensional representation with minimal information loss, a learning method to learn and predict the block-error rate (BLER) under each MCS, and a fast calibration method to compensate errors in BLER predictions. For proof of concept, we implemented DELUXE through a link-level 5G NR simulator with GPU and MathWorks 5G toolbox. Through extensive experiments, we show that DELUXE can successfully choose MCS for eMBB transmissions to maintain the desired link reliability while striving for spectral efficiency. In addition, our implementation can meet the real-time requirement ( $< 125 \mu \text{s}$ ) in 5G NR.","1558-0008","","10.1109/JSAC.2021.3126084","NSF(grant numbers:CNS-1617634); Virginia Commonwealth Cyber Initiative (CCI); Virginia Tech Institute for Critical Technology and Applied Science (ICTAS); NVIDIA AI Lab (NVAIL) in Santa Clara, CA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9606643","5G NR;eMBB;URLLC;multiplexing;preemptive puncturing;link adaptation;link reliability;MCS selection;deep learning;GPU","Ultra reliable low latency communication;Throughput;5G mobile communication;Reliability;Modulation;Long Term Evolution;Interference","5G mobile communication;deep learning (artificial intelligence);error statistics;modulation coding;multiplexing;telecommunication computing;telecommunication network reliability;telecommunication traffic","DELUXE;preemptive puncturing;MCS selection;deep learning;DL-based link adaptation;eMBB multiplexing;URLLC multiplexing;5G NR;ultrareliable and low latency communications;delay sensitive applications;enhanced mobile broadband service;eMBB service link reliability performance;modulation and coding scheme;block-error rate;BLER;MathWorks 5G toolbox;spectral efficiency","","8","","51","IEEE","8 Nov 2021","","","IEEE","IEEE Journals"
"Uncertainty-Aware Fast Curb Detection Using Convolutional Networks in Point Clouds","Y. Jung; M. Jeon; C. Kim; S. -W. Seo; S. -W. Kim","Seoul National University, South Korea; Seoul National University, South Korea; Seoul National University, South Korea; Seoul National University, South Korea; Seoul National University, South Korea","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","12882","12888","Curb detection is an essential function of autonomous vehicles in urban areas. However, curbs are difficult to detect in complex urban environments in which many dynamic objects exist. Additionally, curbs appear in a variety of shapes and sizes. Previous studies have been based on the traditional pipeline, which consists of the extraction and aggregation of hand-crafted features that are then fed to classifiers. However, this sequential process is inefficient and designing the hand-crafted features is a complex process. Recently, this kind of process has been replaced by Deep Neural Networks (DNN), in which classifiers and features are learned from large-scale data. Very few works have exploited DNN for the curb detection problem. Most works use multi-modal sensor-based methods that combine images and accumulated 3D point clouds from LIDAR. However, these approaches require synchronization and calibration between sensors. In addition, they do not quantify the uncertainty of their predictions for autonomous system safety. In this paper, we present a two-stage DNN-based curb detection method that includes uncertainty quantification. An autoencoder-based network predicts the curbs, and then conditional neural processes rectify the predictions with uncertainty estimations. The experimental results show that our approach achieves high accuracy and recall in complex areas. We also constructed a large-scale dataset to create benchmarks consisting of approximately 5,224 scans with bird’s-eye view labels collected from urban areas. To the best of our knowledge, there are no public datasets for DNN-based curb detectors. The benchmarks and datasets are publicly available at https://github.com/YounghwaJung/curb_detection_DNN.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561358","National Research Foundation of Korea; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561358","","Deep learning;Uncertainty;Three-dimensional displays;Urban areas;Benchmark testing;Feature extraction;Safety","convolutional neural nets;deep learning (artificial intelligence);feature extraction;image classification;image sequences;object detection;optical radar;sensor fusion;shape recognition;traffic engineering computing","uncertainty-aware fast curb detection;convolutional networks;autonomous vehicles;hand-crafted features;deep neural networks;curb detection problem;multimodal sensor-based methods;autonomous system safety;curb detection method;uncertainty quantification;autoencoder-based network;conditional neural processes;DNN-based curb detectors","","3","","38","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
