Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Artificial Intelligence and Cognitive Science","Communications in Computer and Information Science","","","","10.1007/978-3-031-26438-2","Luca LongoRuairi O’Reilly","2023","http://link.springer.com/book/10.1007/978-3-031-26438-2","Book"
"Digital Business and Intelligent Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-09850-5","Prof. Mirjana IvanovicProf. Dr. Marite KirikovaLaila Niedrite","2022","http://link.springer.com/book/10.1007/978-3-031-09850-5","Book"
"Information Systems and Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-04829-6","Alvaro RochaDr. Hojjat AdeliDr. Gintautas DzemydaProf. Fernando Moreira","2022","http://link.springer.com/book/10.1007/978-3-031-04829-6","Book"
"Phytochromes","Methods in Molecular Biology","","","","10.1007/978-1-4939-9612-4","Andreas Hiltbrunner","2019","http://link.springer.com/book/10.1007/978-1-4939-9612-4","Book"
"Advancements in Interdisciplinary Research","Communications in Computer and Information Science","","","","10.1007/978-3-031-23724-9","Vijayan SugumaranDivya UpadhyayShanu Sharma","2022","http://link.springer.com/book/10.1007/978-3-031-23724-9","Book"
"Proceedings of International Conference on Recent Innovations in Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-0601-7","Yashwant SinghChaman VermaIllés ZoltánJitender Kumar ChhabraPradeep Kumar Singh","2023","http://link.springer.com/book/10.1007/978-981-99-0601-7","Book"
"Internet of Things and Connected Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94507-7","Rajiv MisraNishtha KesswaniMuttukrishnan RajarajanBharadwaj VeeravalliAshok Patel","2022","http://link.springer.com/book/10.1007/978-3-030-94507-7","Book"
"Agents and Multi-Agent Systems: Technologies and Applications 2022","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-19-3359-2","Gordan JezicYun-Heh Jessica Chen-BurgerMario KusekRoman ŠperkaRobert J. HowlettLakhmi C. Jain","2022","http://link.springer.com/book/10.1007/978-981-19-3359-2","Book"
"Proceedings of International Joint Conference on Advances in Computational Intelligence","Algorithms for Intelligent Systems","","","","10.1007/978-981-99-1435-7","Mohammad Shorif UddinJagdish Chand Bansal","2023","http://link.springer.com/book/10.1007/978-981-99-1435-7","Book"
"Obesity and Diabetes","","","","","10.1007/978-3-030-53370-0","Prof. Dr. Joel FaintuchDr. Salomão Faintuch","2020","http://link.springer.com/book/10.1007/978-3-030-53370-0","Book"
"Edge Analytics","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-0019-8","Dr. Ripon PatgiriProf. Sivaji BandyopadhyayDr. Malaya Dutta BorahDr. Valentina Emilia Balas","2022","http://link.springer.com/book/10.1007/978-981-19-0019-8","Book"
"Proceedings of 3rd International Conference on Artificial Intelligence: Advances and Applications","Algorithms for Intelligent Systems","","","","10.1007/978-981-19-7041-2","Garima MathurMahesh BundeleAshish TripathiMarcin Paprzycki","2023","http://link.springer.com/book/10.1007/978-981-19-7041-2","Book"
"Expert Clouds and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-1745-7","I. Jeena JacobSelvanayaki Kolandapalayam ShanmugamIvan Izonin","2023","http://link.springer.com/book/10.1007/978-981-99-1745-7","Book"
"The Diabetes Textbook","","","","","10.1007/978-3-031-25519-9","Joel Rodriguez-Saldana","2023","http://link.springer.com/book/10.1007/978-3-031-25519-9","Book"
"Intelligent Data Engineering and Analytics","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-19-7524-0","Vikrant BhatejaXin-She YangJerry Chun-Wei LinRanjita Das","2023","http://link.springer.com/book/10.1007/978-981-19-7524-0","Book"
"Automation 2022: New Solutions and Technologies for Automation, Robotics and Measurement Techniques","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-031-03502-9","Prof. Dr. Roman SzewczykProf. Dr. Cezary ZielińskiMałgorzata Kaliczyńska","2022","http://link.springer.com/book/10.1007/978-3-031-03502-9","Book"
"Computer Vision – ECCV 2022","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19842-7","Shai AvidanGabriel BrostowMoustapha CisséGiovanni Maria FarinellaTal Hassner","2022","http://link.springer.com/book/10.1007/978-3-031-19842-7","Book"
"Intelligent Transport Systems","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-031-30855-0","Ana Lucia MartinsJoao C. FerreiraAlexander KocianUlpan Tokkozhina","2023","http://link.springer.com/book/10.1007/978-3-031-30855-0","Book"
"New Trends in Database and Information Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-15743-1","Silvia ChiusanoTania CerquitelliRobert WrembelKjetil NørvågBarbara CataniaGenoveva Vargas-SolarEster Zumpano","2022","http://link.springer.com/book/10.1007/978-3-031-15743-1","Book"
"Inventive Systems and Control","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-1624-5","V. SumaPascal LorenzZubair Baig","2023","http://link.springer.com/book/10.1007/978-981-99-1624-5","Book"
"HCI in Mobility, Transport, and Automotive Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-030-22666-4","Prof. Dr. Heidi Krömker","2019","http://link.springer.com/book/10.1007/978-3-030-22666-4","Book"
"Proceedings of Third Doctoral Symposium on Computational Intelligence","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-3148-2","Ashish KhannaDeepak GuptaVineet KansalGiancarlo FortinoAboul Ella Hassanien","2023","http://link.springer.com/book/10.1007/978-981-19-3148-2","Book"
"Advanced Communication and Intelligent Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-25088-0","Rabindra Nath ShawMarcin PaprzyckiAnkush Ghosh","2023","http://link.springer.com/book/10.1007/978-3-031-25088-0","Book"
"Advanced Solutions and Practical Applications in Road Traffic Engineering","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-22359-4","Elżbieta MacioszekAnna GranàGrzegorz Sierpiński","2023","http://link.springer.com/book/10.1007/978-3-031-22359-4","Book"
"Protein Aggregation","Methods in Molecular Biology","","","","10.1007/978-1-0716-2597-2","Andrzej Stanisław Cieplak","2023","http://link.springer.com/book/10.1007/978-1-0716-2597-2","Book"
"Handbook of Oxidative Stress in Cancer: Mechanistic Aspects","","","","","10.1007/978-981-15-9411-3","Prof. Sajal ChakrabortiDr. Bimal K. RayDr. Susanta Roychoudhury","2022","http://link.springer.com/referencework/10.1007/978-981-15-9411-3","ReferenceWork"
"Computer Science and Education","Communications in Computer and Information Science","","","","10.1007/978-981-99-2443-1","Wenxing HongYang Weng","2023","http://link.springer.com/book/10.1007/978-981-99-2443-1","Book"
"Quality of Information and Communications Technology","Communications in Computer and Information Science","","","","10.1007/978-3-031-14179-9","Antonio VallecilloJoost VisserRicardo Pérez-Castillo","2022","http://link.springer.com/book/10.1007/978-3-031-14179-9","Book"
"Estrogen Receptors","Methods in Molecular Biology","","","","10.1007/978-1-0716-1920-9","Kathleen M. Eyster","2022","http://link.springer.com/book/10.1007/978-1-0716-1920-9","Book"
"Multi-Agent-Based Simulation XXII","Lecture Notes in Computer Science","","","","10.1007/978-3-030-94548-0","Dr. Koen H. Van DamNicolas Verstaevel","2022","http://link.springer.com/book/10.1007/978-3-030-94548-0","Book"
"Software Architecture","Communications in Computer and Information Science","","","","10.1007/978-3-030-59155-7","Henry MucciniParis AvgeriouDr. Barbora BuhnovaJavier CamaraMauro CaporuscioMirco FranzagoAnne KoziolekDr. Patrizia ScandurraCatia TrubianiDanny WeynsUwe Zdun","2020","http://link.springer.com/book/10.1007/978-3-030-59155-7","Book"
"Cyber-Physical Systems and Control II","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-20875-1","Dmitry G. ArsenievNabil Aouf","2023","http://link.springer.com/book/10.1007/978-3-031-20875-1","Book"
"Advances in Industrial Internet of Things, Engineering and Management","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-69705-1","Dagmar CagáňováNatália HorňákováAndy PuscaDr. Pedro Filipe Cunha","2021","http://link.springer.com/book/10.1007/978-3-030-69705-1","Book"
"Agricultural Biotechnology: Latest Research and Trends","","","","","10.1007/978-981-16-2339-4","Dr. Dinesh Kumar SrivastavaDr. Ajay Kumar ThakurDr. Pankaj Kumar","2021","http://link.springer.com/book/10.1007/978-981-16-2339-4","Book"
"Intelligent Computing Theories and Application","Lecture Notes in Computer Science","","","","10.1007/978-3-030-84529-2","De-Shuang HuangProf. Kang-Hyun JoJianqiang LiValeriya GribovaDr. Abir Hussain","2021","http://link.springer.com/book/10.1007/978-3-030-84529-2","Book"
"Information Technology and Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-68285-9","Prof. Álvaro RochaProf. Carlos FerrásProf. Paulo Carlos López-LópezProf. Teresa Guarda","2021","http://link.springer.com/book/10.1007/978-3-030-68285-9","Book"
"Computer Vision and Robotics","Algorithms for Intelligent Systems","","","","10.1007/978-981-19-7892-0","Praveen Kumar ShuklaKrishna Pratap SinghAshish Kumar TripathiAndries Engelbrecht","2023","http://link.springer.com/book/10.1007/978-981-19-7892-0","Book"
"Pharmacology of Potassium Channels","Handbook of Experimental Pharmacology","","","","10.1007/978-3-030-84052-5","Nikita GamperKeWei Wang","2021","http://link.springer.com/book/10.1007/978-3-030-84052-5","Book"
"Neural Information Processing","Communications in Computer and Information Science","","","","10.1007/978-981-99-8184-7","Biao LuoLong ChengZheng-Guang WuHongyi LiChaojie Li","2024","http://link.springer.com/book/10.1007/978-981-99-8184-7","Book"
"19. Internationales Stuttgarter Symposium","Proceedings","","","","10.1007/978-3-658-25939-6","Prof. Dr. Michael BargendeProf. Dr. Hans-Christian ReussProf. Dr. Andreas WagnerProf. Dr. Jochen Wiedemann","2019","http://link.springer.com/book/10.1007/978-3-658-25939-6","Book"
"Encyclopedia of Business and Professional Ethics","","","","","10.1007/978-3-030-22767-8","Deborah C. PoffAlex C. Michalos","2023","http://link.springer.com/referencework/10.1007/978-3-030-22767-8","ReferenceWork"
"Algorithms and Solutions Based on Computer Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-93872-7","Prof. Dr. Carlos JahnProf. Dr. László UngváriProf. Dr. Igor Ilin","2022","http://link.springer.com/book/10.1007/978-3-030-93872-7","Book"
"Advances in Data and Information Sciences","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-5689-7","Prof. Shailesh TiwariDr. Munesh C. TrivediProf. Mohan Lal KolheDr. K.K. MishraDr. Brajesh Kumar Singh","2022","http://link.springer.com/book/10.1007/978-981-16-5689-7","Book"
"Soft Computing and Signal Processing","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-1249-7","Dr. V. Sivakumar ReddyDr. V. Kamakshi PrasadJiacun WangDr. K. T. V. Reddy","2022","http://link.springer.com/book/10.1007/978-981-16-1249-7","Book"
"Computational Science – ICCS 2022","Lecture Notes in Computer Science","","","","10.1007/978-3-031-08754-7","Derek GroenClélia de MulatierProf. Maciej PaszynskiDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M. A. Sloot","2022","http://link.springer.com/book/10.1007/978-3-031-08754-7","Book"
"Plant Ecology","","","","","10.1007/978-3-662-56233-8","Prof. Dr. Ernst-Detlef SchulzeProf. Dr. Erwin BeckDr. Nina BuchmannStephan ClemensProf. Dr. Klaus Müller-HohensteinProf. Dr. Michael Scherer-Lorenzen","2019","http://link.springer.com/book/10.1007/978-3-662-56233-8","Book"
"Advances on P2P, Parallel, Grid, Cloud and Internet Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89899-1","Prof. Leonard Barolli","2022","http://link.springer.com/book/10.1007/978-3-030-89899-1","Book"
"Handbook of Porous Carbon Materials","Materials Horizons: From Nature to Nanomaterials","","","","10.1007/978-981-19-7188-4","Andrews Nirmala GracePrashant SonarPreetam BhardwajArghya Chakravorty","2023","http://link.springer.com/book/10.1007/978-981-19-7188-4","Book"
"Marketing Dynamism & Sustainability: Things Change, Things Stay the Same…","Developments in Marketing Science: Proceedings of the Academy of Marketing Science","","","","10.1007/978-3-319-10912-1","Leroy Robinson Jr.","2015","http://link.springer.com/book/10.1007/978-3-319-10912-1","Book"
"Handbook of Oxidative Stress in Cancer: Therapeutic Aspects","","","","","10.1007/978-981-16-5422-0","Sajal Chakraborti","2022","http://link.springer.com/referencework/10.1007/978-981-16-5422-0","ReferenceWork"
"New Developments and Environmental Applications of Drones","","","","","10.1007/978-3-030-77860-6","Tarmo LippingPetri LinnaNathaniel Narra","2022","http://link.springer.com/book/10.1007/978-3-030-77860-6","Book"
"Biomedical Engineering Technologies","Methods in Molecular Biology","","","","10.1007/978-1-0716-1811-0","Avraham RasoolyHouston BakerPh.D. Miguel R. Ossandon","2022","http://link.springer.com/book/10.1007/978-1-0716-1811-0","Book"
"S","Encyclopedia of Neuroscience","","","","10.1007/978-3-540-29678-2_19","Charles A. ScudderLawrence MaysGunnar TobinElisabeth EhlerEdward L. KellerAdonis MoschovakisEdward L. KellerEdward L. KellerXintian HuDavid L. SparksAdonis MoschovakisAlexej GrantynMark M. G. WaltonDavid L. SparksXintian HuAdonis Moschovakis","2009","http://link.springer.com/referenceworkentry/10.1007/978-3-540-29678-2_19","ReferenceWorkEntry"
"Computational Intelligence Methods for Bioinformatics and Biostatistics","Lecture Notes in Computer Science","","","","10.1007/978-3-030-34585-3","Prof. Maria RaposoPaulo RibeiroSusana SérioProf. Antonino StaianoProf. Angelo Ciaramella","2020","http://link.springer.com/book/10.1007/978-3-030-34585-3","Book"
"Advances in Data Computing, Communication and Security","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-8403-6","Dr. Pankaj VermaDr. Chhagan CharanProf. Xavier FernandoDr. Subramaniam Ganesan","2022","http://link.springer.com/book/10.1007/978-981-16-8403-6","Book"
"The Semantic Web – ISWC 2019","Lecture Notes in Computer Science","","","","10.1007/978-3-030-30793-6","Chiara GhidiniOlaf HartigMaria MaleshkovaVojtěch SvátekIsabel CruzAidan HoganJie SongMaxime LefrançoisDr. Fabien Gandon","2019","http://link.springer.com/book/10.1007/978-3-030-30793-6","Book"
"Abstracts of the IDF Congress in Paris 2003","Diabetologia","","46","2","10.1007/s00125-003-1190-9","","2003","http://link.springer.com/article/10.1007/s00125-003-1190-9","Article"
"Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-30694-5","Maria PapadakiPaulo Rupino da CunhaMarinos ThemistocleousKlitos Christodoulou","2023","http://link.springer.com/book/10.1007/978-3-031-30694-5","Book"
"Computer Information Systems and Industrial Management","Lecture Notes in Computer Science","","","","10.1007/978-3-031-42823-4","Khalid SaeedJiří DvorskýNobuyuki NishiuchiMakoto Fukumoto","2023","http://link.springer.com/book/10.1007/978-3-031-42823-4","Book"
"Innovation-Driven Business and Sustainability in the Tropics","","","","","10.1007/978-981-99-2909-2","Emiel L. EijdenbergMalobi MukherjeeJacob Wood","2023","http://link.springer.com/book/10.1007/978-981-99-2909-2","Book"
"Protocols in Advanced Genomics and Allied Techniques","Springer Protocols Handbooks","","","","10.1007/978-1-0716-1818-9","Aruna Pal","2022","http://link.springer.com/book/10.1007/978-1-0716-1818-9","Book"
"Intelligent Data Engineering and Analytics","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-99-6706-3","Vikrant BhatejaFiona CarrollJoão Manuel R. S. TavaresSandeep Singh SengarPeter Peer","2023","http://link.springer.com/book/10.1007/978-981-99-6706-3","Book"
"Progress in Botany Vol. 83","Progress in Botany","","","","10.1007/978-3-031-12782-3","Ulrich LüttgeFrancisco M. CánovasMaría-Carmen RisueñoChristoph LeuschnerHans Pretzsch","2023","http://link.springer.com/book/10.1007/978-3-031-12782-3","Book"
"Abstracts of 52nd EASD Annual Meeting","Diabetologia","","59","1","10.1007/s00125-016-4046-9","","2016","http://link.springer.com/article/10.1007/s00125-016-4046-9","Article"
"Proceedings of the International Health Informatics Conference","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-9090-8","Sarika JainSven GroppeNandana Mihindukulasooriya","2023","http://link.springer.com/book/10.1007/978-981-19-9090-8","Book"
"Supercomputing","Communications in Computer and Information Science","","","","10.1007/978-3-030-92864-3","Prof. Vladimir VoevodinSergey Sobolev","2021","http://link.springer.com/book/10.1007/978-3-030-92864-3","Book"
"Perspectives and Trends in Education and Technology","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-5063-5","Dr. Anabela MesquitaProf. Dr. António AbreuProf. João Vidal Carvalho","2022","http://link.springer.com/book/10.1007/978-981-16-5063-5","Book"
"Futuristic Communication and Network Technologies","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-9748-8","N. SubhashiniMorris. A. G. EzraShien-Kuei Liaw","2023","http://link.springer.com/book/10.1007/978-981-19-9748-8","Book"
"Introduction to the Light-Emitting Diode","Synthesis Lectures on Materials and Optics","","","","10.1007/978-3-031-30716-4","Hisashi Masui","2023","http://link.springer.com/book/10.1007/978-3-031-30716-4","Book"
"Abstracts 2007","Diabetologia","","50","1","10.1007/s00125-007-0809-7","","2007","http://link.springer.com/article/10.1007/s00125-007-0809-7","Article"
"Sustainable Supply Chains","Springer Series in Supply Chain Management","","","","10.1007/978-3-319-29791-0","Yann BoucheryCharles J. CorbettJan C. FransooTarkan Tan","2017","http://link.springer.com/book/10.1007/978-3-319-29791-0","Book"
"Commercial Vehicle Technology 2020/2021","Proceedings","","","","10.1007/978-3-658-29717-6","Prof. Dr. Karsten BernsDr. Klaus DresslerRalf KalmarDr. Nicole StephanProf. Dr. Roman TeutschDr. Martin Thul","2021","http://link.springer.com/book/10.1007/978-3-658-29717-6","Book"
"Lipoproteins in Diabetes Mellitus","Contemporary Diabetes","","","","10.1007/978-3-031-26681-2","Alicia J. JenkinsPeter P. Toth","2023","http://link.springer.com/book/10.1007/978-3-031-26681-2","Book"
"23. Internationales Stuttgarter Symposium","Proceedings","","","","10.1007/978-3-658-42236-3","André Casal KulzerHans-Christian ReussAndreas Wagner","2023","http://link.springer.com/book/10.1007/978-3-658-42236-3","Book"
"Pediatric Neurogastroenterology","","","","","10.1007/978-3-031-15229-0","Christophe FaureNikhil ThaparCarlo Di Lorenzo","2022","http://link.springer.com/book/10.1007/978-3-031-15229-0","Book"
"Leveraging Applications of Formal Methods, Verification and Validation","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89159-6","Tiziana MargariaProf. Dr. Bernhard Steffen","2021","http://link.springer.com/book/10.1007/978-3-030-89159-6","Book"
"Smart IoT for Research and Industry","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-71485-7","Melody MohKanta Prasad SharmaDr. Rashmi AgrawalProf. Vicente Garcia Diaz","2022","http://link.springer.com/book/10.1007/978-3-030-71485-7","Book"
"Web Information Systems and Applications","Lecture Notes in Computer Science","","","","10.1007/978-981-99-6222-8","Long YuanShiyu YangRuixuan LiEvangelos KanoulasXiang Zhao","2023","http://link.springer.com/book/10.1007/978-981-99-6222-8","Book"
"Minutes of The 43rd General Assembly of The European Association for The Study of Diabetes","Diabetologia","","51","1","10.1007/s00125-008-1117-6","","2008","http://link.springer.com/article/10.1007/s00125-008-1117-6","Article"
"18. Internationales Stuttgarter Symposium","Proceedings","","","","10.1007/978-3-658-21194-3","Prof. Dr. Michael BargendeProf. Dr. Hans-Christian ReussProf. Dr. Jochen Wiedemann","2018","http://link.springer.com/book/10.1007/978-3-658-21194-3","Book"
"22. Internationales Stuttgarter Symposium","Proceedings","","","","10.1007/978-3-658-37011-4","Prof. Dr. Michael BargendeProf. Dr. Hans-Christian ReussProf. Dr. Andreas Wagner","2022","http://link.springer.com/book/10.1007/978-3-658-37011-4","Book"
"Short-term travel-time prediction on highway: A review on model-based approach","KSCE Journal of Civil Engineering","","22","1","10.1007/s12205-017-0535-8","Simon OhYoung-Ji ByonKitae JangHwasoo Yeo","2018","http://link.springer.com/article/10.1007/s12205-017-0535-8","Article"
"Plant Proteases and Plant Cell Death","Methods in Molecular Biology","","","","10.1007/978-1-0716-2079-3","Marina KlemenčičSimon StaelProf. Dr. Pitter F. Huesgen","2022","http://link.springer.com/book/10.1007/978-1-0716-2079-3","Book"
"Scientific Abstracts","Reproductive Sciences","","22","1","10.1177/1933719115579631","","2015","http://link.springer.com/article/10.1177/1933719115579631","Article"
"Service-Oriented Computing – ICSOC 2021 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-14135-5","Hakim HacidMonther AldwairiMohamed Reda BouadjenekMarinella PetrocchiNoura FaciFatma OutayAmin BeheshtiLauritz ThamsenHai Dong","2022","http://link.springer.com/book/10.1007/978-3-031-14135-5","Book"
"New Perspectives on Enterprise Decision-Making Applying Artificial Intelligence Techniques","Studies in Computational Intelligence","","","","10.1007/978-3-030-71115-3","Dr. Julian Andres Zapata-CortesDr. Giner Alor-HernándezDr. Cuauhtémoc Sánchez-RamírezDr. Jorge Luis García-Alcaraz","2021","http://link.springer.com/book/10.1007/978-3-030-71115-3","Book"
"High Performance Computing","Communications in Computer and Information Science","","","","10.1007/978-3-031-04209-6","Isidoro GitlerCarlos Jaime Barrios HernándezEsteban Meneses","2022","http://link.springer.com/book/10.1007/978-3-031-04209-6","Book"
"Learning and Career Development in Neurosurgery","","","","","10.1007/978-3-031-02078-0","Ahmed Ammar","2022","http://link.springer.com/book/10.1007/978-3-031-02078-0","Book"
"State-of-the-art automobile emissions models and applications in North America and Europe for sustainable transportation","KSCE Journal of Civil Engineering","","20","3","10.1007/s12205-016-1682-z","Sangjun ParkJung-beom LeeChungwon Lee","2016","http://link.springer.com/article/10.1007/s12205-016-1682-z","Article"
"38th EASD Annual Meeting of the European Association for the Study of Diabetes","Diabetologia","","45","2","10.1007/BF03375460","","2002","http://link.springer.com/article/10.1007/BF03375460","Article"
"Current Trends in Web Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-031-25380-5","Giuseppe AgapitoAnna BernasconiCinzia CappielloHasan Ali KhattakInYoung KoGiuseppe LosetoMichael MrissaLuca NanniPietro PinoliAzzurra RagoneMichele RutaFloriano SciosciaAbhishek Srivastava","2023","http://link.springer.com/book/10.1007/978-3-031-25380-5","Book"
"54th EASD Annual Meeting of the European Association for the Study of Diabetes","Diabetologia","","61","1","10.1007/s00125-018-4693-0","","2018","http://link.springer.com/article/10.1007/s00125-018-4693-0","Article"
"S","StarBriefs Plus","","","","10.1007/978-0-306-48603-6_19","André Heck","2004","http://link.springer.com/chapter/10.1007/978-0-306-48603-6_19","Chapter"
"Rhizobiology: Molecular Physiology of Plant Roots","Signaling and Communication in Plants","","","","10.1007/978-3-030-84985-6","Dr. Soumya MukherjeeProf. František Baluška","2021","http://link.springer.com/book/10.1007/978-3-030-84985-6","Book"
"Applicable Formal Methods for Safe Industrial Products","Lecture Notes in Computer Science","","","","10.1007/978-3-031-40132-9","Anne E. HaxthausenWen-ling HuangMarkus Roggenbach","2023","http://link.springer.com/book/10.1007/978-3-031-40132-9","Book"
"Epitranscriptomics","RNA Technologies","","","","10.1007/978-3-030-71612-7","Prof. Dr. Stefan JurgaProf. Dr. Jan Barciszewski","2021","http://link.springer.com/book/10.1007/978-3-030-71612-7","Book"
"22. Internationales Stuttgarter Symposium","Proceedings","","","","10.1007/978-3-658-37009-1","Michael BargendeHans-Christian ReussAndreas Wagner","2022","http://link.springer.com/book/10.1007/978-3-658-37009-1","Book"
"Multi-Agent Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-20614-6","Dorothea BaumeisterJörg Rothe","2022","http://link.springer.com/book/10.1007/978-3-031-20614-6","Book"
"Abstracts of the 26th Annual Conference of APASL, February 15–19, 2017, Shanghai, China","Hepatology International","","11","1","10.1007/s12072-016-9783-9","","2017","http://link.springer.com/article/10.1007/s12072-016-9783-9","Article"
"Robotics in Education","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-38454-7","Richard BaloghDavid ObdržálekEftychios Christoforou","2023","http://link.springer.com/book/10.1007/978-3-031-38454-7","Book"
"High-resolution impacts of green areas on air quality in Madrid","Air Quality, Atmosphere & Health","","16","1","10.1007/s11869-022-01263-3","Roberto San JoseJuan L. Perez-Camanyo","2023","http://link.springer.com/article/10.1007/s11869-022-01263-3","Article"
"Abstracts of the 37th Annual Meeting of the EASD Glasgow, United Kingdom, 9–13 September 2001","Diabetologia","","44","1","10.1007/BF03180172","","2001","http://link.springer.com/article/10.1007/BF03180172","Article"
"Abstracts from the 37th Congress of the Société Internationale d’Urologie, Centro de Congressos de Lisboa, October 19-22, 2017","World Journal of Urology","","35","1","10.1007/s00345-017-2090-9","","2017","http://link.springer.com/article/10.1007/s00345-017-2090-9","Article"
"Atlas of Dermatology, Dermatopathology and Venereology","","","","","10.1007/978-3-319-53808-2","MD Bruce SmollerNooshin Bagherani","2022","http://link.springer.com/referencework/10.1007/978-3-319-53808-2","ReferenceWork"
"21st Century Sports","Future of Business and Finance","","","","10.1007/978-3-030-50801-2","Prof. Dr. Sascha L. Schmidt","2020","http://link.springer.com/book/10.1007/978-3-030-50801-2","Book"
"ESICM LIVES 2020","Intensive Care Medicine Experimental","","8","2","10.1186/s40635-020-00354-8","","2020","http://link.springer.com/article/10.1186/s40635-020-00354-8","Article"
"Fungi and Fungal Products in Human Welfare and Biotechnology","","","","","10.1007/978-981-19-8853-0","Tulasi SatyanarayanaSunil Kumar Deshmukh","2023","http://link.springer.com/book/10.1007/978-981-19-8853-0","Book"
"State-of-art review of traffic signal control methods: challenges and opportunities","European Transport Research Review","","12","1","10.1186/s12544-020-00439-1","Syed Shah Sultan Mohiuddin QadriMahmut Ali GökçeErdinç Öner","2020","http://link.springer.com/article/10.1186/s12544-020-00439-1","Article"
"The Use of LES CFD Urban Models and Mesoscale Air Quality Models for Urban Air Quality Simulations","Environmental Protection and Disaster Risks","","","","10.1007/978-3-030-70190-1_13","R. San JoseJ. L. PérezR. M. Gonzalez-Barras","2021","http://link.springer.com/chapter/10.1007/978-3-030-70190-1_13","Chapter"
"Analysis of the impact of information about future driving situations on the energy consumption","18. Internationales Stuttgarter Symposium","","","","10.1007/978-3-658-21194-3_32","Tobias SchürmannD. GörkeS. SchmiedlerJ. StrenkertK.A. BöhmMichael Bargende","2018","http://link.springer.com/chapter/10.1007/978-3-658-21194-3_32","Chapter"
"Traffic Optimization by Local Bacterial Memetic Algorithm","Computational Collective Intelligence","","","","10.1007/978-3-031-41456-5_37","Szilárd KovácsZoltán BartaJános Botzheim","2023","http://link.springer.com/chapter/10.1007/978-3-031-41456-5_37","Chapter"
"Environmental Responses in Plants","Methods in Molecular Biology","","","","10.1007/978-1-0716-2297-1","Paula DuqueDóra Szakonyi","2022","http://link.springer.com/book/10.1007/978-1-0716-2297-1","Book"
"Catalogue of Minor Planet Names and Discovery Circumstances","Dictionary of Minor Planet Names","","","","10.1007/978-3-642-29718-2_2","Dr. Lutz D. Schmadel","2012","http://link.springer.com/chapter/10.1007/978-3-642-29718-2_2","Chapter"
"11th International Congress on Amino Acids, Peptides and Proteins","Amino Acids","","37","1","10.1007/s00726-009-0320-1","","2009","http://link.springer.com/article/10.1007/s00726-009-0320-1","Article"
"Foundations of Robotics","","","","","10.1007/978-981-19-1983-1","Damith HerathDavid St-Onge","2022","http://link.springer.com/book/10.1007/978-981-19-1983-1","Book"
"Posters","Knee Surgery, Sports Traumatology, Arthroscopy","","18","1","10.1007/s00167-010-1119-z","","2010","http://link.springer.com/article/10.1007/s00167-010-1119-z","Article"
"21. Internationales Stuttgarter Symposium","Proceedings","","","","10.1007/978-3-658-33521-2","Prof. Dr. Michael BargendeProf. Dr. Hans-Christian ReussProf. Dr. Andreas Wagner","2021","http://link.springer.com/book/10.1007/978-3-658-33521-2","Book"
